wl,name,tier,C,H,net,gross,ovh,K,pos,n
A7,DuckDB multi-proc,nvme,3,8,8.365051492241536,8.57903995882693,73.45306454775731,0.33825266504309276,66.47805987779446,68573
A7,DuckDB multi-proc,nvme,3,12,12.327803121868136,12.57522572344733,44.35730009064103,0.4097422875988676,75.07515395616262,68526
A7,DuckDB multi-proc,nvme,3,16,15.623859955396439,15.849994675716722,30.01189538520602,0.39284359221317455,79.9856988588273,68526
A7,DuckDB multi-proc,nvme,3,24,19.358025329612204,19.599130485482934,15.250224924064337,0.4376753565583353,89.12789338321254,68432
A7,DuckDB multi-proc,nvme,3,36,22.093892554202938,22.366787025666163,12.45691314078066,0.5159208639409991,90.33626971816558,68338
A7,DuckDB multi-proc,nvme,3,48,24.255035482565294,24.548376214512782,10.588342075446002,0.5693101225016118,91.56116288611453,68244
A7,DuckDB multi-proc,sata,3,4,1.7964934550570566,2.343937315993282,425.7584025398065,0.24988341591372779,42.140775284173706,68620
A7,DuckDB multi-proc,sata,3,6,5.141929641652037,5.87078770167494,295.63705111474724,0.3406880258994065,52.65191839353681,68573
A7,DuckDB multi-proc,sata,3,8,7.874582352014834,8.57903995882693,241.8100885996966,0.33825266504309276,59.52488588803173,68573
A7,DuckDB multi-proc,sata,3,12,11.760701760726445,12.57522572344733,146.02580206830498,0.4097422875988676,68.22082129410735,68526
A7,DuckDB multi-proc,sata,3,16,15.105551171653484,15.849994675716722,98.80022197607646,0.39284359221317455,75.23713626944517,68526
A7,DuckDB multi-proc,sata,3,24,18.80540377766071,19.599130485482934,50.20428028099056,0.4376753565583353,84.90764554594342,68432
A7,DuckDB multi-proc,sata,3,36,21.46840876562793,22.366787025666163,41.00859901212748,0.5159208639409991,86.40726974743188,68338
A7,DuckDB multi-proc,sata,3,48,23.582688141198926,24.548376214512782,34.857196920937284,0.5693101225016118,87.83922396108082,68244
A8,DuckDB multi-thread,nvme,3,4,2.219667988378139,2.343937315993282,96.64682387640869,0.24988341591372779,51.24016321772078,68620
A8,DuckDB multi-thread,nvme,3,6,5.705337492970389,5.87078770167494,67.10937902804017,0.3406880258994065,62.73314569874441,68573
A8,DuckDB multi-thread,nvme,3,8,8.419128633888153,8.57903995882693,54.890700700220435,0.33825266504309276,67.80219619967043,68573
A8,DuckDB multi-thread,nvme,3,12,12.39032942193316,12.57522572344733,33.14774268625749,0.4097422875988676,76.08790823920847,68526
A8,DuckDB multi-thread,nvme,3,16,15.681006583423226,15.849994675716722,22.427572997520535,0.39284359221317455,80.67886641566704,68526
A8,DuckDB multi-thread,nvme,3,24,19.418955144540096,19.599130485482934,11.39633229834098,0.4376753565583353,89.64519523030161,68432
A8,DuckDB multi-thread,nvme,3,36,22.16285586434473,22.366787025666163,9.308919853373784,0.5159208639409991,90.808920366414,68338
A8,DuckDB multi-thread,nvme,3,48,24.329165778302126,24.548376214512782,7.9125563971169495,0.5693101225016118,91.95240607232871,68244
A8,DuckDB multi-thread,sata,3,4,1.611202926945457,2.343937315993282,569.8626749298002,0.24988341591372779,40.55231710871466,68620
A8,DuckDB multi-thread,sata,3,6,4.895236775959691,5.87078770167494,395.6998141470418,0.3406880258994065,50.2165575372231,68573
A8,DuckDB multi-thread,sata,3,8,7.636148183120843,8.57903995882693,323.65431449459254,0.33825266504309276,57.37535181485425,68573
A8,DuckDB multi-thread,sata,3,12,11.48501399439731,12.57522572344733,195.45040961957926,0.4097422875988676,66.11942912179319,68526
A8,DuckDB multi-thread,sata,3,16,14.853583180303232,15.849994675716722,132.2406285890388,0.39284359221317455,73.53267372967925,68526
A8,DuckDB multi-thread,sata,3,24,18.536755151996804,19.599130485482934,67.19666666155932,0.4376753565583353,83.3250526069675,68432
A8,DuckDB multi-thread,sata,3,36,21.1643392634843,22.366787025666163,54.888570111051536,0.5159208639409991,84.97175802628114,68338
A8,DuckDB multi-thread,sata,3,48,23.255836630270682,24.548376214512782,46.65513436592739,0.5693101225016118,86.46327882304672,68244
